_date,total_clones,unique_clones
2022-02-23,7,4
2022-02-24,2,1
2022-02-25,6,1
2022-02-28,2,2
2022-03-01,4,2
2022-03-07,10,6
2022-03-08,4,4
2022-03-09,7,5
2022-03-10,20,9
2022-03-11,2,1
2022-03-12,1,1
2022-03-14,2,2
2022-03-15,2,2
2022-03-17,1,1
2022-03-19,24,24
2022-03-20,1,1
2022-03-21,2,2
2022-03-22,1,1
2022-03-23,1,1
2022-03-24,1,1
2022-03-25,2,1
2022-03-26,1,1
2022-03-28,4,4
2022-03-30,1,1
2022-04-01,1,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-07,2,2
2022-04-09,2,2
2022-04-11,2,2
2022-04-13,1,1
2022-04-14,2,2
2022-04-15,1,1
2022-04-18,1,1
2022-04-19,3,2
2022-04-20,1,1
2022-04-21,5,3
2022-04-22,2,1
2022-04-23,1,1
2022-04-25,9,8
2022-04-26,1,1
2022-04-28,4,3
2022-04-29,9,5
2022-04-30,1,1
2022-05-02,2,2
2022-05-03,6,4
2022-05-04,4,3
2022-05-05,6,4
2022-05-06,1,1
2022-05-09,3,3
2022-05-10,2,2
2022-05-11,1,1
2022-05-12,1,1
2022-05-16,5,4
2022-05-17,1,1
2022-05-18,1,1
2022-05-20,2,2
2022-05-22,2,2
